date,member,match,rule,1st_name,1st_score,2nd_name,2nd_score,3rd_name,3rd_score,4th_name,4th_score
2025/8/17,Com_n,4,"5,10,0",Hamada,35,Koizumi,0,Kuzu,-12,Yamazaki,-23
2025/8/22,Uni_n,1,"5,10,0",Kozu,40,Hirozane,10,Hirabara,-22,Hamada,-28
2025/8/22,Uni_n,2,"5,10,0",Hamada,47,Kozu,14,Hirabara,-28,Hirozone,-33
2025/8/22,Uni_n,3,"5,10,0",Hirozane,27,Hamada,8,Kozu,-13,Hirabara,-22
2025/8/30,Com_y,1,"5,10,10",Yamagen,31,Hamada,2,Takahashi,-13,Shioya,-20
2025/8/30,Com_y,2,"5,10,10",Takahashi,40,Shioya,7,Hamada,-20,Yamagen,-27
2025/8/30,Com_y,3,"5,10,10",Takahashi,45,Shioya,14,Hamada,-25,Yamagen,-34
2025/8/30,Com_y,4,"5,10,10",Hamada,40,Takahashi,5,Shioya,-19,Yamagen,-26
2025/8/30,Com_y,5,"5,10,10",Hamada,33,Takahashi,-2,Shioya,-13,Yamagen,-18
2025/8/30,Com_y,6,"5,10,10",Shioya,36,Takahashi,-2,Hamada,-12,Yamagen,-22
2025/8/30,Com_y,7,"5,10,10",Takahashi,35,Hamada,6,Yamagen,-16,Shioya,-25
2025/9/6,Com_n,1,"10,30,0",Hamada,78,Koizumi,13,Tanaka,-22,Yamazaki,-69
2025/9/6,Com_n,2,"10,30,0",Hamada,74,Koizumi,19,Tanaka,-31,Yamazaki,-62
2025/9/6,Com_n,3,"10,30,0",Hamada,59,Koizumi,10,Yamazaki,-23,Tanaka,-46
2025/9/6,Com_n,4,"10,30,0",Hamada,85,Tanaka,23,Koizumi,-23,Yamazaki,-85
2025/9/6,Com_n,5,"10,30,0",Koizumi,58,Tanaka,18,Yamazaki,-22,Hamada,-54
2025/9/6,Com_n,6,"10,30,0",Yamazaki,51,Tanaka,7,Koizumi,-16,Hamada,-42
2025/9/13,Yar,1,"10,30,5",Hamada,71,Yazima,9,Miura,-26,Kasai,-54
2025/9/13,Yar,2,"10,30,5",Miura,67,Hamada,1,Yazima,-23,Kasai,-45
2025/9/13,Yar,3,"10,30,5",Hamada,86,Kasai,7,Yazima,-17,Miura,-76
2025/9/13,Yar,4,"10,30,5",Yazima,88,Kasai,4,Miura,-25,Hamada,-67
2025/9/13,Yar,5,"10,30,5",Hamada,69,Kasai,19,Miura,-25,Yazima,-63
2025/9/28,Uni_y,1,"5,10,5",Kozu,34,Kagami,2,Hamada,-15,Ayabe,-21
2025/9/28,Uni_y,2,"5,10,5",Kozu,82,Kagami,0,Ayabe,-34,Hamada,-48
2025/9/28,Uni_y,3,"5,10,5",Hamada,96,Kozu,13,Ayabe,-45,Kagami,-64
2025/9/28,Uni_y,4,"5,10,5",Kagami,31,Kozu,2,Ayabe,-12,Hamada,-21
2025/9/28,Uni_y,5,"5,10,5",Kagami,46,Kozu,6,Ayabe,-21,Hamada,-31
2025/9/28,Uni_y,6,"5,10,5",Kozu,55,Hamada,-5,Ayabe,-19,Kagami,-31
2025/10/5,Yar,1,"10,30,5",Hamada,72,Yazima,7,Miura,-19,Kasai,-60
2025/10/5,Yar,2,"10,30,5",Miura,68,Hamada,3,Yazima,-27,Kasai,-44
2025/10/5,Yar,3,"10,30,5",Kasai,63,Yazima,17,Hamada,-28,Miura,-52
2025/10/5,Yar,4,"10,30,5",Kasai,97,Miura,12,Yazima,-39,Hamada,-70
2025/10/5,Yar,5,"10,30,5",Kasai,83,Hamada,5,Yazima,-21,Miura,-67
2025/10/5,Yar,6,"10,30,5",Hamada,72,Miura,29,Kasai,-39,Yazima,-62
2025/10/5,Yar,7,"10,30,5",Yazima,60,Miura,11,Kasai,-22,Hamada,-49
2025/10/5,Yar,8,"10,30,5",Hamada,64,Yazima,-6,Kasai,-16,Miura,-42
2025/10/5,Yar,9,"10,30,5",Yazima,66,Miura,15,Kasai,-22,Hamada,-59
2025/10/5,Yar,10,"10,30,5",Hamada,62,Kasai,8,Miura,-24,Yazima,-46
2025/10/18,Com_y,1,"5,10,10",Hamada,35,Shioya,4,Takahashi,-13,Yamagen,-26
2025/10/18,Com_y,2,"5,10,10",Hamada,40,Shioya,9,Takahashi,-19,Yamagen,-30
2025/10/18,Com_y,3,"5,10,10",Hamada,49,Yamagen,8,Takahashi,-17,Shioya,-40
2025/10/18,Com_y,4,"5,10,10",Yamagen,37,Hamada,0,Takahashi,-15,Shioya,-22
2025/10/18,Com_y,5,"5,10,10",Yamagen,38,Takahashi,9,Hamada,-2,Shioya,-45
2025/10/19,Com_n,1,"10,30,0",Tanaka,64,Hamada,8,Yamazaki,-17,Koizumi,-55
2025/10/19,Com_n,2,"10,30,0",Tanaka,102,Koizumi,-5,Hamada,-26,Yamazaki,-71
2025/10/19,Com_n,3,"10,30,0",Hamada,58,Yamazaki,7,Koizumi,-14,Tanaka,-51
2025/10/19,Com_n,4,"10,30,0",Yamazaki,55,Hamada,5,Koizumi,-19,Tanaka,-41
2025/10/19,Com_n,5,"10,30,0",Yamazaki,57,Hamada,11,Koizumi,-19,Tanaka,-49
2025/10/19,Com_n,6,"10,30,0",Koizumi,99,Hamada,8,Yamazaki,-37,Tanaka,-70
2025/10/19,Com_n,7,"10,30,0",Tanaka,59,Hamada,11,Yamazaki,-18,Koizumi,-52
2025/10/19,Com_n,8,"10,30,0",Hamada,68,Tanaka,13,Yamazaki,-26,Koizumi,-55
2025/10/19,Com_n,9,"10,30,0",Tanaka,100,Hamada,6,Yamazaki,-16,Koizumi,-90
2025/10/19,Com_n,10,"10,30,0",Tanaka,72,Yamazaki,9,Hamada,-27,Koizumi,-54
2025/10/19,Com_n,11,"10,30,0",Tanaka,61,Hamada,5,Koizumi,-23,Yamazaki,-43
2025/11/1,Yar,1,"10,30,5",Hamada,59,Kasai,10,Yazima,-19,Miura,-50
2025/11/1,Yar,2,"10,30,5",Yazima,70,Miura,15,Kasai,-9,Hamada,-76
2025/11/1,Yar,3,"10,30,5",Kasai,78,Miura,1,Yazima,-19,Hamada,-60
2025/11/1,Yar,4,"10,30,5",Kasai,57,Miura,9,Hamada,-12,Yazima,-54
2025/11/1,Yar,5,"10,30,5",Yazima,53,Miura,7,Hamada,-19,Kasai,-41
2025/11/1,Yar,6,"10,30,5",Hamada,56,Kasai,16,Yazima,-25,Miura,-47
2025/11/1,Yar,7,"10,30,5",Kasai,61,Hamada,9,Furuhata,-22,Yazima,-48
2025/11/1,Yar,8,"10,30,5",Yazima,78,Kasai,13,Furuhata,-28,Hamada,-63
2025/11/1,Yar,9,"10,30,5",Furuhata,77,Kasai,13,Yazima,-31,Hamada,-59
2025/11/1,Yar,10,"10,30,5",Hamada,68,Kasai,7,Yazima,-20,Furuhata,-55
2025/11/8,Com_y,1,"5,10,10",Takahashi,52,Tanaka,-1,Shioya,-18,Hamada,-33
2025/11/8,Com_y,2,"5,10,10",Tanaka,49,Takahashi,9,Hamada,-23,Shioya,-35
2025/11/8,Com_y,3,"5,10,10",Hamada,36,Shioya,5,Tanaka,-17,Takahashi,-24
2025/11/8,Com_y,4,"5,10,10",Tanaka,43,Hamada,14,Shioya,2,Takahashi,-59
2025/11/8,Com_y,5,"5,10,10",Takahashi,44,Hamada,8,Shioya,-22,Tanaka,-30
2025/11/8,Com_y,6,"5,10,10",Hamada,60,Tanaka,7,Takahashi,-29,Shioya,-38
2025/11/8,Com_y,7,"5,10,10",Takahashi,47,Hamada,16,Tanaka,-26,Shioya,-37
2025/11/9,Uni_n,1,"10,30,0",Hamada,56,Kozu,12,Hirabara,-11,Fukushima,-57
